,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
1312,pine,6,0,Alive,Good,None,None,No,No,No,QN38,40.73654661,-73.80037298
2710,pine,16,0,Alive,Good,None,None,No,No,No,QN45,40.76833496,-73.7282561
6354,white pine,29,0,Alive,Good,None,None,No,No,No,SI45,40.57547828,-74.11773796
6667,black pine,3,0,Alive,Good,None,None,No,No,No,MN35,40.85159226,-73.9276778
7716,pine,20,0,Alive,Good,None,None,No,No,No,QN05,40.65208201,-73.73106055
8281,Scots pine,18,0,Alive,Good,None,None,No,No,No,QN53,40.69499552,-73.86175211
9743,pine,34,0,Alive,Good,None,None,No,No,No,QN45,40.77039934,-73.74187809
12055,black pine,9,0,Alive,Fair,None,None,No,No,No,SI28,40.63178868,-74.14101331
12162,white pine,12,0,Alive,Good,None,None,No,No,No,SI32,40.53941141,-74.20524574
13852,pine,10,0,Alive,Fair,None,None,No,No,No,BK42,40.63365582,-73.96105563
14690,red pine,10,0,Alive,Good,None,None,No,No,No,QN27,40.76935227,-73.87528727
15067,black pine,20,0,Alive,Good,StonesRootOther,StonesRootOther,Yes,No,Yes,BX14,40.82506047,-73.92228858
17897,pine,3,0,Alive,Good,None,None,No,No,No,QN10,40.57478816,-73.85084076
19640,white pine,15,0,Alive,Good,None,None,No,No,No,BK91,40.64943845,-73.941792
19929,pine,19,0,Alive,Good,None,None,No,No,No,QN61,40.70722529,-73.80723508
20099,pine,14,0,Alive,Fair,None,None,No,No,No,QN10,40.57154756,-73.85832088
21657,white pine,12,0,Alive,Fair,None,None,No,No,No,QN17,40.71132801,-73.84491315
21960,white pine,6,0,Alive,Fair,None,None,No,No,No,BK45,40.58284472,-73.89243904
22470,pine,9,0,Alive,Good,None,None,No,No,No,QN55,40.66701256,-73.80639486
22780,pine,7,0,Alive,Good,None,None,No,No,No,QN15,40.59511829,-73.75140749
23557,pine,7,0,Alive,Good,None,None,No,No,No,BX39,40.81273843,-73.92348406
24917,pine,7,0,Alive,Good,None,None,No,No,No,BK88,40.63755951,-74.00033648
25313,pitch pine,4,0,Alive,Good,None,None,No,No,No,QN17,40.71208025,-73.84726545
